slug,asin,imageUrl
sigma-4bu-70cm,B0BSXR5JNM,
sigma-4en-125cm,B0BSXPRPH8,
dewalt-18v-angle-grinder,B0F9LG2N1B,
bosch-gwx18v-7,B0BYT1521B,
bosch-gll-laser,B0DV9J2GVF,
huepar-laser-level,B0CX4XC397,
dewalt-d36000-wet-tile-saw,B099X8BT8F,
stabila-level-set,B0GMKVB8MT,
ox-pro-level-bag,B01JUEZ6Z0,
vitrex-2mm-tile-spacers-1000pk,B00NVK3SV4,
ox-pro-10mm-notch-trowel,B075SJ7XGW,
toughbuilt-gelfit-stabilization-knee-pads,B0140V9LWC,
hg-tile-cleaner-product-16,B000IU3VXU,
faithfull-faimp120-mixing-paddle,B0001IWPYA,
